NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
0,2020,2020-01-31,1742,5,-117.24545288085938,32.74726104736328
1,2020,2020-01-02,1850,4,-117.21678161621094,32.85153579711914
2,2020,2020-01-04,1910,6,-117.15653228759766,32.7168083190918
3,2020,2020-02-20,1538,4,-117.1301727294922,32.755401611328125
4,2020,2020-04-08,1515,3,-117.10189819335938,32.755218505859375
5,2020,2020-03-12,730,4,-117.05470275878906,32.701290130615234
6,2021,2021-09-27,2234,1,-117.19776153564452,32.75947189331055
7,2022,2022-01-04,1445,2,-117.10898590087892,32.75254821777344
8,2022,2022-02-18,2006,5,-117.0495834350586,32.553035736083984
9,2022,2022-05-14,1400,6,-117.25029754638672,32.97282028198242
10,2022,2022-06-28,800,2,-117.11557769775392,32.819461822509766
11,2022,2022-10-09,1025,7,-117.11505126953124,32.92435836791992
12,2021,2021-04-08,834,4,-117.094482421875,32.718624114990234
13,2021,2021-09-22,1725,3,-117.1100845336914,32.94112014770508
14,2021,2021-10-12,2202,2,-117.14752960205078,32.70758819580078
15,2021,2021-10-24,210,7,-117.09451293945312,32.62603759765625
16,2021,2021-11-22,1720,1,-117.11781311035156,32.82768249511719
17,2021,2021-12-02,1405,4,-117.10931396484376,32.7457160949707
18,2020,2020-02-26,20,3,-117.20380401611328,32.75941467285156
19,2020,2020-06-02,1040,2,-117.11286926269533,32.78083038330078
20,2020,2020-05-23,523,6,-117.23204040527344,32.82589340209961
21,2020,2020-08-21,1232,5,-117.02208709716795,32.83821105957031
22,2021,2021-05-05,300,3,-117.11289978027344,32.79075241088867
23,2021,2021-06-25,1355,5,-117.1166534423828,32.90934753417969
24,2022,2022-07-08,807,5,-117.08071899414062,32.70858383178711
25,2022,2022-10-21,2200,5,-117.16863250732422,32.78882598876953
26,2022,2022-07-27,1436,3,-117.15548706054688,32.7188606262207
27,2022,2022-12-31,1600,6,-117.16289520263672,32.77091217041016
28,2022,2022-12-26,1832,1,-117.17104339599608,32.71986770629883
29,2020,2020-02-23,1150,7,-117.24659729003906,32.96306610107422
30,2022,2022-02-09,1400,3,-117.08505249023438,32.7123908996582
31,2022,2022-02-04,808,5,-117.11994934082033,32.893821716308594
32,2022,2022-01-14,1156,5,-117.15557861328124,32.711517333984375
33,2022,2022-03-13,1640,7,-117.11952972412108,32.92724609375
34,2022,2022-05-11,2053,3,-117.05787658691406,33.00408935546875
35,2022,2022-05-16,1743,1,-117.16110229492188,32.718852996826165
36,2021,2021-06-04,55,5,-117.1639404296875,32.728248596191406
37,2021,2021-04-03,636,6,-117.07334899902344,32.77070999145508
38,2021,2021-09-14,717,2,-117.10418701171876,32.823394775390625
39,2021,2021-09-30,424,4,-117.06550598144533,32.744285583496094
40,2021,2021-09-24,2500,5,-117.13003540039062,32.94683074951172
41,2021,2021-10-20,36,3,-117.07981872558594,32.73723220825195
42,2020,2020-09-27,1352,7,-117.20919036865234,32.79030990600586
43,2020,2020-09-18,1345,5,-117.23748016357422,32.78873825073242
44,2020,2020-09-26,923,6,-117.2512664794922,32.765628814697266
45,2020,2020-09-03,610,4,-117.16733551025392,32.72814178466797
46,2020,2020-11-12,1728,4,-117.02545166015624,32.697696685791016
47,2021,2021-05-27,1045,4,-117.0664291381836,32.75967788696289
48,2020,2020-06-02,1404,2,-117.13577270507812,32.76978302001953
49,2020,2020-07-16,640,4,-117.09368133544922,32.91085433959961
50,2020,2020-07-17,1536,5,-117.0611572265625,32.71051025390625
51,2020,2020-08-09,1340,7,-117.11129760742188,32.99714279174805
52,2020,2020-08-14,1730,5,-117.2510986328125,32.771026611328125
53,2020,2020-08-19,1203,3,-117.04894256591795,32.768672943115234
54,2020,2020-01-06,1705,1,-117.14186096191406,32.72697448730469
55,2020,2020-01-17,955,5,-117.21959686279295,32.75482940673828
56,2020,2020-02-12,131,3,-117.11075592041016,32.75149917602539
57,2020,2020-03-10,1507,2,-117.21411895751952,32.87739181518555
58,2020,2020-08-03,2242,1,-117.08774566650392,32.56987762451172
59,2020,2020-09-12,1521,6,-117.06607055664062,32.756072998046875
60,2022,2022-07-07,1915,4,-117.18715667724608,32.75954055786133
61,2022,2022-08-28,40,7,-117.11560821533205,32.73868179321289
62,2022,2022-06-12,2217,7,-117.16119384765624,32.77455520629883
63,2022,2022-12-19,1745,1,-116.9392318725586,32.55282974243164
64,2022,2022-12-22,1554,4,-117.23268127441406,32.83279037475586
65,2021,2021-08-30,550,1,-117.0834503173828,32.995269775390625
66,2021,2021-06-23,313,3,-117.04264831542967,32.55924606323242
67,2021,2021-10-29,725,5,-117.14407348632812,32.95366287231445
68,2021,2021-10-24,310,7,-117.11044311523438,32.68028259277344
69,2022,2022-02-23,645,3,-117.1151885986328,32.89231491088867
70,2022,2022-05-13,2135,5,-117.03759765625,32.54755401611328
71,2020,2020-09-08,535,2,-117.1208953857422,32.69856643676758
72,2020,2020-08-26,1940,3,-117.24118041992188,32.93359375
73,2020,2020-11-08,850,7,-117.03952026367188,32.56686019897461
74,2021,2021-06-05,919,6,-117.18805694580078,32.75983047485352
75,2021,2021-06-20,2230,7,-117.11221313476562,32.77340316772461
76,2021,2021-07-03,1510,6,-117.20743560791016,32.891483306884766
77,2022,2022-08-22,1514,1,-117.0835189819336,32.57278823852539
78,2022,2022-10-09,1330,7,-117.0710678100586,32.70907974243164
79,2022,2022-12-23,2224,5,-117.12422943115234,32.79471206665039
80,2020,2020-02-13,2044,4,-117.16284942626952,32.7618293762207
81,2020,2020-03-02,1605,1,-117.20849609375,32.7767333984375
82,2020,2020-03-16,2313,1,-117.11213684082033,32.93471908569336
83,2022,2022-03-28,1715,1,-117.15943145751952,32.73139190673828
84,2022,2022-03-28,906,1,-117.21515655517578,32.752132415771484
85,2022,2022-04-12,2035,2,-117.13099670410156,32.74845123291016
86,2022,2022-04-19,1337,2,-117.2298583984375,32.7615852355957
87,2022,2022-06-27,1238,1,-117.09282684326172,32.583740234375
88,2022,2022-08-21,1859,7,-117.24286651611328,32.86222457885742
89,2021,2021-12-04,1613,6,-117.0825424194336,32.75737380981445
90,2021,2021-12-10,1520,5,-117.1363525390625,32.75217056274414
91,2021,2021-12-12,1245,7,-117.21515655517578,32.752132415771484
92,2021,2021-01-04,1736,1,-117.05646514892578,32.729576110839844
93,2021,2021-12-20,1727,1,-117.16380310058594,32.71255111694336
94,2022,2022-02-24,715,4,-117.0903091430664,32.96411895751953
95,2021,2021-07-08,845,4,-117.17839050292967,32.87766647338867
96,2021,2021-08-09,955,1,-117.1168212890625,32.70445251464844
97,2021,2021-08-21,1058,6,-117.19601440429688,32.74592208862305
98,2021,2021-09-20,1020,1,-117.09860229492188,32.7911491394043
99,2021,2021-10-19,745,2,-117.16303253173828,32.73136138916016
100,2021,2021-11-09,805,2,-117.07946014404295,32.750999450683594
101,2020,2020-11-13,1720,5,-117.1725845336914,32.833988189697266
102,2021,2021-03-19,1659,5,-117.14432525634766,32.7014045715332
103,2021,2021-03-26,845,5,-117.19332122802734,32.82857894897461
