SORT_ORDER,Crime,ADAMS NORTH,ALLIED GARDENS,ALTA VISTA,AZALEA/HOLLYWOOD PARK,BALBOA PARK,BARRIO LOGAN,BAY HO,BAY PARK,BAY TERRACES,BIRDLAND,BLACK MOUNTAIN RANCH,BORDER,BROADWAY HEIGHTS,BURLINGAME,CARMEL MOUNTAIN,CARMEL VALLEY,CASTLE,CHEROKEE POINT,CHOLLAS CREEK,CHOLLAS VIEW,CLAIREMONT MESA EAST,CLAIREMONT MESA WEST,COLINA DEL SOL,COLLEGE AREA EAST,COLLEGE AREA WEST,CORE-COLUMBIA,CORRIDOR,CORTEZ,DEL CERRO,DEL MAR HEIGHTS,EAST VILLAGE,EGGER HIGHLANDS,EL CERRITO,EMERALD HILLS,ENCANTO,FAIRMOUNT PARK,FAIRMOUNT VILLAGE,FOX CANYON,GASLAMP,GOLDEN HILL,GRANT HILL,GRANTVILLE,HARBORVIEW,HILLCREST,HORTON PLAZA,ISLENAIR,JAMACHA/LOMITA,KEARNY MESA,KENSINGTON,LA JOLLA,LA PLAYA,LAKE MURRAY,LINCOLN PARK,LINDA VISTA,LITTLE ITALY,LOGAN HEIGHTS,LOMA PORTAL,MARINA,MIDTOWN,MIDWAY DISTRICT,MIRA MESA,MIRAMAR,MIRAMAR RANCH NORTH,MISSION BAY PARK,MISSION BEACH,MISSION HILLS,MISSION VALLEY EAST,MISSION VALLEY WEST,MORENA,MOUNTAIN VIEW,MT. HOPE,NESTOR,NORMAL HEIGHTS,NORTH CITY,NORTH CLAIREMONT,NORTH PARK,OAK PARK,OCEAN BEACH,OCEAN CREST,OLD TOWN,OTAY MESA,OTAY MESA WEST,PACIFIC BEACH,PALM CITY,PARADISE HILLS,PARK WEST,PETCO PARK,POINT LOMA HEIGHTS,QUALCOMM,RANCHO BERNARDO,RANCHO ENCANTADA,RANCHO PENASQUITOS,REDWOOD VILLAGE/ROLANDO PARK,RIDGEVIEW/WEBSTER,ROLANDO,ROSEVILLE/FLEET RIDGE,SABRE SPRINGS,SAN CARLOS,SAN PASQUAL,SAN YSIDRO,SCRIPPS RANCH,SERRA MESA,SHELLTOWN,SHERMAN HEIGHTS,SKYLINE,SORRENTO VALLEY,SOUTH PARK,SOUTHCREST,STOCKTON,SUNSET CLIFFS,SWAN CANYON,TALMADGE,TERALTA EAST,TERALTA WEST,TIERRASANTA,TIJUANA RIVER VALLEY,TORREY HIGHLANDS,TORREY PINES,TORREY PRESERVE,UNDEFINED,UNIVERSITY CITY,UNIVERSITY HEIGHTS,VALENCIA PARK,WOODED AREA,Total
1,Murder,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,41
2,Rape**,1,1,0,0,2,7,2,3,7,7,2,0,0,0,3,5,6,3,3,2,3,0,3,6,4,12,2,7,4,3,53,5,3,1,3,1,3,2,15,5,0,11,0,22,0,0,1,6,1,5,0,2,3,8,6,5,1,7,2,3,8,0,1,1,4,2,11,6,5,11,2,1,2,0,4,15,6,3,4,4,1,3,22,0,1,4,1,5,0,5,0,5,0,1,3,0,3,4,1,3,1,8,2,4,2,0,6,2,1,0,2,5,0,2,2,1,0,2,2,9,7,3,1,3,489
3,Armed Robbery,0,1,0,1,4,12,4,3,6,1,0,6,0,0,8,2,5,2,2,1,8,0,7,2,1,21,6,0,1,0,43,14,4,0,2,1,4,0,4,3,2,9,1,17,3,0,3,8,1,15,0,2,6,10,2,14,0,8,1,34,10,2,0,2,1,5,35,22,1,11,0,2,3,0,4,16,6,5,1,3,4,10,4,3,0,6,6,4,0,6,0,8,0,2,6,0,0,0,0,24,1,3,2,2,0,0,1,7,1,0,2,1,6,4,1,0,0,0,0,0,4,2,2,1,567
4,Strong Arm Robbery,0,1,1,0,2,14,2,7,9,1,1,3,0,0,2,5,5,2,1,1,15,0,15,2,2,40,8,2,1,0,45,7,5,0,2,1,7,3,22,0,5,13,2,22,4,0,1,11,2,23,0,4,3,9,4,10,0,9,0,26,14,1,2,2,8,2,73,50,3,7,1,1,1,0,7,9,3,13,4,5,0,4,22,3,1,4,12,9,0,2,0,7,0,5,4,0,0,1,0,26,3,2,0,5,1,0,2,2,1,0,0,5,10,4,1,0,0,0,0,8,22,5,2,0,761
5,Aggravated Assault**,12,15,4,11,38,67,15,26,54,31,9,24,3,2,15,19,46,27,21,20,53,10,65,40,19,168,41,33,12,6,352,17,39,22,38,11,48,13,115,31,16,65,18,120,16,2,21,62,7,44,1,23,60,67,34,118,2,51,14,112,106,17,3,43,38,14,93,60,31,75,24,39,41,1,30,92,52,111,40,27,24,51,134,31,26,54,54,48,1,23,0,27,0,33,56,0,7,9,1,91,18,62,12,17,33,12,11,27,17,4,13,27,51,30,29,1,7,3,0,36,52,25,65,1,4605
6,Total Violent Crime,13,18,5,12,46,103,23,39,78,40,12,34,3,2,28,31,63,34,27,25,80,10,90,51,26,241,58,42,18,9,497,43,52,23,45,14,62,18,156,39,23,102,21,181,23,2,26,87,11,87,1,31,72,95,46,150,3,75,17,175,138,20,6,49,52,23,212,138,40,104,27,43,47,1,45,132,68,132,49,39,29,69,184,38,28,68,73,66,1,36,0,47,0,42,69,0,10,14,2,146,24,75,16,28,37,13,20,39,20,5,17,38,67,40,33,3,7,5,2,54,85,35,70,5,6463
7,Residential Burglary,11,9,1,2,1,3,8,30,18,5,8,1,0,0,6,54,7,11,7,2,13,5,21,18,30,22,11,4,9,5,43,5,5,4,7,1,8,5,4,14,2,27,2,28,2,0,5,14,14,74,2,8,8,28,11,14,8,7,11,10,30,0,19,1,46,8,19,7,7,7,2,6,15,13,12,78,12,15,8,1,1,11,79,2,6,16,3,20,0,19,2,26,0,5,7,0,9,10,0,21,7,21,2,3,7,3,3,7,0,2,2,20,10,4,6,1,6,2,0,10,71,23,5,0,1451
8,Non-Residential Burglary,7,11,0,1,20,15,8,21,5,1,3,0,0,0,20,28,1,1,1,13,16,5,2,4,3,40,4,5,2,5,50,6,8,1,4,27,2,1,11,4,2,28,4,46,3,0,5,106,3,64,0,6,12,15,22,12,6,11,8,63,24,91,7,6,7,11,54,21,22,7,1,7,11,8,14,40,8,19,17,18,25,8,46,2,1,16,6,17,0,32,0,12,0,10,12,0,3,8,0,55,17,9,0,0,5,72,3,5,8,0,0,6,8,5,16,0,0,5,5,8,53,14,3,1,1661
9,Total Burglary,18,20,1,3,21,18,16,51,23,6,11,1,0,0,26,82,8,12,8,15,29,10,23,22,33,62,15,9,11,10,93,11,13,5,11,28,10,6,15,18,4,55,6,74,5,0,10,120,17,138,2,14,20,43,33,26,14,18,19,73,54,91,26,7,53,19,73,28,29,14,3,13,26,21,26,118,20,34,25,19,26,19,125,4,7,32,9,37,0,51,2,38,0,15,19,0,12,18,0,76,24,30,2,3,12,75,6,12,8,2,2,26,18,9,22,1,6,7,5,18,124,37,8,1,3112
10,Theft >= $400,30,47,1,8,68,43,54,98,76,30,33,17,4,4,143,221,32,27,11,14,166,21,42,57,67,211,45,40,28,34,235,65,26,8,21,21,23,13,426,48,6,160,52,373,8,3,22,221,30,291,8,54,40,84,61,50,21,76,30,295,311,62,30,95,95,38,475,329,54,82,24,34,64,20,105,270,91,80,92,51,54,65,369,18,34,96,50,120,0,111,1,110,0,21,60,0,26,34,1,341,62,129,11,15,19,68,23,15,7,11,5,36,34,19,81,2,22,31,12,47,418,70,23,15,9531
