id,neighbourhood,latitude,longitude,room_type,price
1,North Hills,32.75522,-117.12873,Entire home/apt,349
2,Pacific Beach,32.80751,-117.2576,Entire home/apt,286
3,La Jolla,32.81301,-117.26856,Entire home/apt,196
4,Pacific Beach,32.80583,-117.24244,Entire home/apt,99
5,Pacific Beach,32.80621,-117.23372,Entire home/apt,114
9,Midtown,32.74779,-117.1648,Entire home/apt,203
11,Pacific Beach,32.79783,-117.25416,Entire home/apt,526
12,Pacific Beach,32.80751,-117.25728,Entire home/apt,673
13,La Jolla,32.80934,-117.25913,Entire home/apt,95
15,West University Heights,32.75314,-117.15142,Entire home/apt,141
21,Carmel Valley,32.94568,-117.23229,Entire home/apt,169
22,Mira Mesa,32.91086,-117.13066,Entire home/apt,132
23,Moreno Mission,32.77361,-117.2004,Entire home/apt,115
24,Mission Bay,32.76411,-117.25139,Entire home/apt,200
25,Loma Portal,32.74109,-117.24503,Entire home/apt,213
27,La Jolla,32.84006,-117.26922,Entire home/apt,789
28,Mission Bay,32.76757,-117.25103,Entire home/apt,290
30,Linda Vista,32.79579,-117.17383,Entire home/apt,102
31,Old Town,32.75259,-117.17599,Entire home/apt,179
32,Loma Portal,32.75031,-117.23056,Entire home/apt,105
33,North Hills,32.74925,-117.13299,Entire home/apt,97
34,West University Heights,32.75906,-117.14445,Entire home/apt,259
35,Midtown,32.73464,-117.16452,Entire home/apt,121
36,Cortez Hill,32.72237,-117.1652,Entire home/apt,200
37,Ocean Beach,32.75152,-117.24682,Entire home/apt,199
38,West University Heights,32.75568,-117.14679,Entire home/apt,115
39,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,139
40,Mission Bay,32.7924,-117.23138,Entire home/apt,343
42,Pacific Beach,32.802494,-117.25676,Entire home/apt,176
43,Midtown,32.74359,-117.17584,Entire home/apt,89
44,Ocean Beach,32.75103,-117.24745,Entire home/apt,149
45,Midtown,32.74271,-117.1773,Entire home/apt,115
46,North Hills,32.74966,-117.14462,Entire home/apt,107
47,Clairemont Mesa,32.80279,-117.18976,Entire home/apt,126
52,La Jolla,32.82787,-117.27975,Entire home/apt,1300
53,Balboa Park,32.72065,-117.13006,Entire home/apt,82
54,Moreno Mission,32.766686193501634,-117.18966015101624,Entire home/apt,206
55,South Park,32.7264,-117.12624,Entire home/apt,308
56,Balboa Park,32.71941,-117.129,Entire home/apt,111
57,Mission Bay,32.78917,-117.23352,Entire home/apt,218
58,Midtown,32.73608,-117.16177,Entire home/apt,119
