Number,Collision_Date,Collision_Time,Day_Of_Week,Longitude,Latitude
0,2020-01-31,17:04:02,Friday,-117.24545,32.74726
1,2020-01-02,18:05:00,Thursday,-117.21678,32.85154
2,2020-01-04,19:01:00,Saturday,-117.15653,32.71681
3,2020-02-20,15:03:08,Thursday,-117.13017,32.7554
4,2020-04-08,15:01:05,Wednesday,-117.1019,32.75522
5,2020-03-12,07:03:00,Thursday,-117.0547,32.70129
6,2021-09-27,22:03:04,Monday,-117.19776,32.75947
7,2022-01-04,14:04:05,Tuesday,-117.10899,32.75255
8,2022-02-18,20:00:06,Friday,-117.04958,32.55304
9,2022-05-14,14:00:00,Saturday,-117.2503,32.97282
10,2022-06-28,08:00:00,Tuesday,-117.11558,32.81946
11,2022-10-09,10:02:05,Sunday,-117.11505,32.92436
12,2021-04-08,08:03:04,Thursday,-117.09448,32.71862
13,2021-09-22,17:02:05,Wednesday,-117.11008,32.94112
14,2021-10-12,22:00:02,Tuesday,-117.14753,32.70759
15,2021-10-24,02:01:00,Sunday,-117.09451,32.62604
16,2021-11-22,17:02:00,Monday,-117.11781,32.82768
17,2021-12-02,14:00:05,Thursday,-117.10931,32.74572
19,2020-06-02,10:04:00,Tuesday,-117.11287,32.78083
20,2020-05-23,05:02:03,Saturday,-117.23204,32.82589
21,2020-08-21,12:03:02,Friday,-117.02209,32.83821
22,2021-05-05,03:00:00,Wednesday,-117.1129,32.79075
23,2021-06-25,13:05:05,Friday,-117.11665,32.90935
24,2022-07-08,08:00:07,Friday,-117.08072,32.70858
25,2022-10-21,22:00:00,Friday,-117.16863,32.78883
26,2022-07-27,14:03:06,Wednesday,-117.15549,32.71886
27,2022-12-31,16:00:00,Saturday,-117.1629,32.77091
28,2022-12-26,18:03:02,Monday,-117.17104,32.71987
29,2020-02-23,11:05:00,Sunday,-117.2466,32.96307
30,2022-02-09,14:00:00,Wednesday,-117.08505,32.71239
31,2022-02-04,08:00:08,Friday,-117.11995,32.89382
32,2022-01-14,11:05:06,Friday,-117.15558,32.71152
33,2022-03-13,16:04:00,Sunday,-117.11953,32.92725
34,2022-05-11,20:05:03,Wednesday,-117.05788,33.00409
35,2022-05-16,17:04:03,Monday,-117.1611,32.71885
37,2021-04-03,06:03:06,Saturday,-117.07335,32.77071
38,2021-09-14,07:01:07,Tuesday,-117.10419,32.82339
39,2021-09-30,04:02:04,Thursday,-117.06551,32.74429
40,2021-09-24,02:50:00,Friday,-117.13004,32.94683
42,2020-09-27,13:05:02,Sunday,-117.20919,32.79031
43,2020-09-18,13:04:05,Friday,-117.23748,32.78874
44,2020-09-26,09:02:03,Saturday,-117.25127,32.76563
45,2020-09-03,06:01:00,Thursday,-117.16734,32.72814
46,2020-11-12,17:02:08,Thursday,-117.02545,32.6977
47,2021-05-27,10:04:05,Thursday,-117.06643,32.75968
48,2020-06-02,14:00:04,Tuesday,-117.13577,32.76978
49,2020-07-16,06:04:00,Thursday,-117.09368,32.91085
50,2020-07-17,15:03:06,Friday,-117.06116,32.71051
51,2020-08-09,13:04:00,Sunday,-117.1113,32.99714
52,2020-08-14,17:03:00,Friday,-117.2511,32.77103
53,2020-08-19,12:00:03,Wednesday,-117.04894,32.76867
54,2020-01-06,17:00:05,Monday,-117.14186,32.72697
55,2020-01-17,09:05:05,Friday,-117.2196,32.75483
56,2020-02-12,01:03:01,Wednesday,-117.11076,32.7515
57,2020-03-10,15:00:07,Tuesday,-117.21412,32.87739
58,2020-08-03,22:04:02,Monday,-117.08775,32.56988
59,2020-09-12,15:02:01,Saturday,-117.06607,32.75607
60,2022-07-07,19:01:05,Thursday,-117.18716,32.75954
62,2022-06-12,22:01:07,Sunday,-117.16119,32.77456
63,2022-12-19,17:04:05,Monday,-116.93923,32.55283
64,2022-12-22,15:05:04,Thursday,-117.23268,32.83279
65,2021-08-30,05:05:00,Monday,-117.08345,32.99527
66,2021-06-23,03:01:03,Wednesday,-117.04265,32.55925
67,2021-10-29,07:02:05,Friday,-117.14407,32.95366
68,2021-10-24,03:01:00,Sunday,-117.11044,32.68028
69,2022-02-23,06:04:05,Wednesday,-117.11519,32.89231
70,2022-05-13,21:03:05,Friday,-117.0376,32.54755
71,2020-09-08,05:03:05,Tuesday,-117.1209,32.69857
72,2020-08-26,19:04:00,Wednesday,-117.24118,32.93359
73,2020-11-08,08:05:00,Sunday,-117.03952,32.56686
74,2021-06-05,09:01:09,Saturday,-117.18806,32.75983
75,2021-06-20,22:03:00,Sunday,-117.11221,32.7734
76,2021-07-03,15:01:00,Saturday,-117.20744,32.89148
77,2022-08-22,15:01:04,Monday,-117.08352,32.57279
78,2022-10-09,13:03:00,Sunday,-117.07107,32.70908
79,2022-12-23,22:02:04,Friday,-117.12423,32.79471
80,2020-02-13,20:04:04,Thursday,-117.16285,32.76183
81,2020-03-02,16:00:05,Monday,-117.2085,32.77673
82,2020-03-16,23:01:03,Monday,-117.11214,32.93472
83,2022-03-28,17:01:05,Monday,-117.15943,32.73139
84,2022-03-28,09:00:06,Monday,-117.21516,32.75213
85,2022-04-12,20:03:05,Tuesday,-117.131,32.74845
86,2022-04-19,13:03:07,Tuesday,-117.22986,32.76159
87,2022-06-27,12:03:08,Monday,-117.09283,32.58374
88,2022-08-21,18:05:09,Sunday,-117.24287,32.86222
89,2021-12-04,16:01:03,Saturday,-117.08254,32.75737
90,2021-12-10,15:02:00,Friday,-117.13635,32.75217
91,2021-12-12,12:04:05,Sunday,-117.21516,32.75213
92,2021-01-04,17:03:06,Monday,-117.05647,32.72958
93,2021-12-20,17:02:07,Monday,-117.1638,32.71255
94,2022-02-24,07:01:05,Thursday,-117.09031,32.96412
95,2021-07-08,08:04:05,Thursday,-117.17839,32.87767
96,2021-08-09,09:05:05,Monday,-117.11682,32.70445
97,2021-08-21,10:05:08,Saturday,-117.19601,32.74592
98,2021-09-20,10:02:00,Monday,-117.0986,32.79115
99,2021-10-19,07:04:05,Tuesday,-117.16303,32.73136
100,2021-11-09,08:00:05,Tuesday,-117.07946,32.751
101,2020-11-13,17:02:00,Friday,-117.17258,32.83399
102,2021-03-19,16:05:09,Friday,-117.14433,32.7014
103,2021-03-26,08:04:05,Friday,-117.19332,32.82858
104,2021-04-12,17:05:03,Monday,-117.16386,32.72201
105,2021-04-28,03:02:03,Wednesday,-117.06448,32.75286
106,2021-06-13,10:03:07,Sunday,-117.07287,32.74914
107,2020-04-18,23:05:07,Saturday,-117.09068,32.59524
108,2020-05-16,20:00:03,Saturday,-117.16137,32.79121
109,2020-08-05,19:04:04,Wednesday,-117.14644,32.77343
110,2020-09-29,14:00:06,Tuesday,-117.13927,32.7673
111,2020-09-17,14:02:09,Thursday,-117.20946,32.7504
