neighborhood,Crime Index,Motor Vehicle Theft,Total Violent Crime,Total Burglary,Total Thefts
Adams North,89,13,13,18,45
Allied Gardens,155,34,18,20,83
Alta Vista,17,7,5,1,4
Azalea/Hollywood Park,54,19,12,3,20
Balboa Park,215,49,46,21,99
Barrio Logan,306,83,103,18,102
Bay Ho,155,26,23,16,90
Bay Park,341,79,39,51,172
Bay Terraces,331,90,78,23,140
Birdland,109,14,40,6,49
Black Mountain Ranch,86,5,12,11,58
Border,104,35,34,1,34
Broadway Heights,10,0,3,0,7
Burlingame,13,5,2,0,6
Carmel Mountain,318,37,28,26,227
Carmel Valley,502,44,31,82,345
Castle,157,32,63,8,54
Cherokee Point,117,22,34,12,49
Chollas Creek,88,28,27,8,25
Chollas View,95,21,25,15,34
Clairemont Mesa East,474,79,80,29,286
Clairemont Mesa West,72,12,10,10,40
Colina Del Sol,253,59,90,23,81
College Area East,246,57,51,22,116
College Area West,176,19,26,33,98
Core-Columbia,720,114,241,62,303
Corridor,186,34,58,15,79
Cortez,147,19,42,9,77
Del Cerro,99,19,18,11,51
Del Mar Heights,85,11,9,10,55
East Village,1219,209,497,93,420
Egger Highlands,253,50,43,11,149
El Cerrito,163,38,52,13,60
Emerald Hills,49,10,23,5,11
Encanto,161,56,45,11,49
Fairmount Park,99,19,14,28,38
Fairmount Village,168,40,62,10,56
Fox Canyon,53,11,18,6,18
Gaslamp,722,20,156,15,531
Golden Hill,233,88,39,18,88
Grant Hill,60,18,23,4,15
Grantville,561,95,102,55,309
Harborview,119,21,21,6,71
Hillcrest,903,103,181,74,545
Horton Plaza,48,10,23,5,10
Islenair,7,1,2,0,4
Jamacha/Lomita,107,32,26,10,39
Kearny Mesa,716,129,87,120,380
Kensington,119,31,11,17,60
La Jolla,868,158,87,138,485
La Playa,20,2,1,2,15
Lake Murray,180,25,31,14,110
Lincoln Park,217,56,72,20,69
Linda Vista,337,51,95,43,148
Little Italy,220,49,46,33,92
Logan Heights,365,86,150,26,103
Loma Portal,66,8,3,14,41
Marina,272,55,75,18,124
Midtown,114,23,17,19,55
Midway District,941,88,175,73,605
Mira Mesa,951,164,138,54,595
Miramar,314,94,20,91,109
Miramar Ranch North,104,8,6,26,64
Mission Bay Park,247,33,49,7,158
Mission Beach,265,33,52,53,127
Mission Hills,147,17,23,19,88
Mission Valley East,1494,150,212,73,1059
Mission Valley West,736,66,138,28,504
Morena,193,36,40,29,88
Mountain View,381,63,104,14,200
Mt. Hope,91,20,27,3,41
Nestor,257,128,43,13,73
Normal Heights,243,52,47,26,118
North City,57,5,1,21,30
North Clairemont,235,21,45,26,143
North Park,901,168,132,118,483
Oak Park,322,67,68,20,167
Ocean Beach,397,84,132,34,147
Ocean Crest,374,133,49,25,167
Old Town,156,25,39,19,73
Otay Mesa,999,788,29,26,156
Otay Mesa West,401,182,69,19,131
Pacific Beach,1119,266,184,125,544
Palm City,119,40,38,4,37
Paradise Hills,121,22,28,7,64
Park West,341,74,68,32,167
Petco Park,179,14,73,9,83
Point Loma Heights,379,65,66,37,211
Qualcomm,6,1,1,0,4
Rancho Bernardo,356,59,36,51,210
Rancho Encantada,5,2,0,2,1
Rancho Penasquitos,327,53,47,38,189
Redwood Village/Rolando Park,0,0,0,0,0
Ridgeview/Webster,126,22,42,15,47
Rolando,293,75,69,19,130
Roseville/Fleet Ridge,0,0,0,0,0
Sabre Springs,84,22,10,12,40
San Carlos,104,11,14,18,61
San Pasqual,4,0,2,0,2
San Ysidro,1517,488,146,76,807
Scripps Ranch,201,31,24,24,122
Serra Mesa,424,85,75,30,234
Shelltown,57,17,16,2,22
Sherman Heights,87,25,28,3,31
Skyline,117,32,37,12,36
Sorrento Valley,259,61,13,75,110
South Park,91,16,20,6,49
Southcrest,107,24,39,12,32
Stockton,66,15,20,8,23
Sunset Cliffs,31,6,5,2,18
Swan Canyon,60,23,17,2,18
Talmadge,198,48,38,26,86
Teralta East,215,57,67,18,73
Teralta West,137,43,40,9,45
Tierrasanta,220,24,33,22,141
Tijuana River Valley,12,3,3,1,5
Torrey Highlands,51,8,7,6,30
Torrey Pines,71,11,5,7,48
Torrey Preserve,29,5,2,5,17
Undefined,193,36,54,18,85
University City,1078,137,85,124,732
University Heights,243,46,35,37,125
Valencia Park,174,46,70,8,50
Wooded Area,30,1,5,1,23
Total,33576,6999,6463,3112,17002
