NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
0,2022,2022-01-04,1445,2,-117.10898590087892,32.75254821777344
1,2022,2022-02-18,2006,5,-117.0495834350586,32.553035736083984
2,2022,2022-05-14,1400,6,-117.25029754638672,32.97282028198242
3,2022,2022-06-28,800,2,-117.11557769775392,32.819461822509766
4,2022,2022-10-09,1025,7,-117.11505126953124,32.92435836791992
5,2022,2022-07-08,807,5,-117.08071899414062,32.70858383178711
6,2022,2022-10-21,2200,5,-117.16863250732422,32.78882598876953
7,2022,2022-07-27,1436,3,-117.15548706054688,32.7188606262207
8,2022,2022-12-31,1600,6,-117.16289520263672,32.77091217041016
9,2022,2022-12-26,1832,1,-117.17104339599608,32.71986770629883
10,2022,2022-02-09,1400,3,-117.08505249023438,32.7123908996582
11,2022,2022-02-04,808,5,-117.11994934082033,32.893821716308594
12,2022,2022-01-14,1156,5,-117.15557861328124,32.711517333984375
13,2022,2022-03-13,1640,7,-117.11952972412108,32.92724609375
14,2022,2022-05-11,2053,3,-117.05787658691406,33.00408935546875
15,2022,2022-05-16,1743,1,-117.16110229492188,32.718852996826165
16,2022,2022-07-07,1915,4,-117.18715667724608,32.75954055786133
17,2022,2022-08-28,40,7,-117.11560821533205,32.73868179321289
18,2022,2022-06-12,2217,7,-117.16119384765624,32.77455520629883
19,2022,2022-12-19,1745,1,-116.9392318725586,32.55282974243164
20,2022,2022-12-22,1554,4,-117.23268127441406,32.83279037475586
21,2022,2022-02-23,645,3,-117.1151885986328,32.89231491088867
22,2022,2022-05-13,2135,5,-117.03759765625,32.54755401611328
23,2022,2022-08-22,1514,1,-117.0835189819336,32.57278823852539
24,2022,2022-10-09,1330,7,-117.0710678100586,32.70907974243164
25,2022,2022-12-23,2224,5,-117.12422943115234,32.79471206665039
26,2022,2022-03-28,1715,1,-117.15943145751952,32.73139190673828
27,2022,2022-03-28,906,1,-117.21515655517578,32.752132415771484
28,2022,2022-04-12,2035,2,-117.13099670410156,32.74845123291016
29,2022,2022-04-19,1337,2,-117.2298583984375,32.7615852355957
30,2022,2022-06-27,1238,1,-117.09282684326172,32.583740234375
31,2022,2022-08-21,1859,7,-117.24286651611328,32.86222457885742
32,2022,2022-02-24,715,4,-117.0903091430664,32.96411895751953
33,2022,2022-04-09,910,6,-117.08740997314452,32.59532165527344
34,2022,2022-05-10,110,2,-117.20231628417967,32.88381576538086
35,2022,2022-05-18,2240,3,-117.16015625,32.71397399902344
36,2022,2022-06-25,2355,6,-117.11286926269533,32.77141189575195
37,2022,2022-09-27,432,2,-117.2363052368164,32.841190338134766
38,2022,2022-10-02,2235,7,-117.1601104736328,32.707969665527344
39,2022,2022-09-07,1336,3,-117.16293334960938,32.72198486328125
40,2022,2022-09-24,1549,6,-117.25939178466795,32.8165283203125
41,2022,2022-07-28,518,4,-117.14037322998048,32.69330978393555
42,2022,2022-11-27,1838,7,-117.25308227539062,32.795127868652344
43,2022,2022-09-07,1242,3,-117.11041259765624,32.75712966918945
44,2022,2022-12-04,2121,7,-117.1439971923828,32.912818908691406
45,2022,2022-09-18,2216,7,-117.14485931396484,32.70627975463867
46,2022,2022-01-26,730,3,-117.23509216308594,32.75166702270508
47,2022,2022-03-30,2205,3,-117.20860290527344,32.767127990722656
48,2022,2022-04-26,844,2,-117.19063568115234,32.826412200927734
49,2022,2022-06-13,626,1,-117.10155487060548,32.78019714355469
50,2022,2022-07-13,1235,3,-117.1138153076172,32.91031646728516
51,2022,2022-05-11,1414,3,-117.16511535644533,32.761741638183594
52,2022,2022-05-30,305,1,-117.15450286865234,32.80387496948242
53,2022,2022-06-29,100,3,-117.0682373046875,32.56768035888672
54,2022,2022-07-23,430,6,-117.08281707763672,32.718727111816406
55,2022,2022-08-12,2008,5,-117.11314392089844,32.7398796081543
56,2022,2022-11-02,1700,3,-117.24373626708984,32.94749069213867
57,2022,2022-01-13,1422,4,-117.14681243896484,32.70438003540039
58,2022,2022-01-20,645,4,-117.11779022216795,32.715850830078125
59,2022,2022-02-22,2328,2,-117.04258728027344,32.55778503417969
60,2022,2022-03-28,25,1,-117.12696838378906,32.7620964050293
61,2022,2022-06-07,2011,2,-117.14920043945312,32.7021484375
62,2022,2022-07-04,2050,1,-117.23856353759766,32.79235076904297
63,2022,2022-07-23,2350,6,-117.0327606201172,32.59486770629883
64,2022,2022-10-03,1755,1,-117.03182983398438,32.68283462524414
65,2022,2022-10-27,1630,4,-117.16021728515624,32.72196578979492
66,2022,2022-03-08,835,2,-117.10528564453124,32.74029922485352
67,2022,2022-05-02,1655,1,-117.10614776611328,32.75511169433594
68,2022,2022-04-20,1025,3,-117.06649017333984,32.807769775390625
69,2022,2022-04-24,1220,7,-117.23493957519533,32.78093338012695
70,2022,2022-05-18,1312,3,-117.1638412475586,32.71883010864258
71,2022,2022-09-18,1345,7,-117.15848541259766,32.793460845947266
72,2022,2022-09-16,1745,5,-117.1190185546875,32.7161979675293
73,2022,2022-10-25,1838,2,-117.1477279663086,32.70775604248047
74,2022,2022-11-06,955,7,-117.23380279541016,32.91749954223633
75,2022,2022-12-10,1715,6,-117.16193389892578,32.96335983276367
76,2022,2022-01-06,828,4,-117.15663146972656,32.81299591064453
77,2022,2022-02-06,642,7,-117.1095962524414,32.764015197753906
78,2022,2022-02-07,500,1,-117.08827972412108,32.59247589111328
79,2022,2022-01-29,410,6,-117.16080474853516,32.786617279052734
80,2022,2022-02-24,755,4,-117.1444091796875,32.702537536621094
81,2022,2022-02-27,1245,7,-117.03622436523438,32.588043212890625
82,2022,2022-03-02,950,3,-117.15825653076172,32.814884185791016
83,2022,2022-03-08,1100,2,-117.15642547607422,32.7436408996582
84,2022,2022-03-10,1821,4,-117.10094451904295,32.71155548095703
85,2022,2022-03-13,340,7,-117.09642028808594,32.9633674621582
86,2022,2022-02-07,138,1,-117.08477783203124,32.98112869262695
87,2022,2022-03-14,1209,1,-117.06099700927734,32.558868408203125
88,2022,2022-03-25,1320,5,-117.15618896484376,32.76487350463867
89,2022,2022-04-03,1805,7,-117.11286926269533,32.778499603271484
90,2022,2022-03-09,1500,3,-117.20413970947266,32.888275146484375
91,2022,2022-04-12,712,2,-117.09732055664062,32.708091735839844
92,2022,2022-04-26,835,2,-117.11326599121094,32.78165817260742
93,2022,2022-04-25,444,1,-117.18726348876952,32.86149597167969
94,2022,2022-04-11,1510,1,-117.19638061523438,32.871036529541016
95,2022,2022-05-20,740,5,-117.14128875732422,32.7688102722168
96,2022,2022-05-24,1135,2,-117.15621948242188,32.73832321166992
97,2022,2022-05-14,430,6,-117.23116302490234,32.91507339477539
98,2022,2022-05-25,1710,3,-117.1374969482422,32.71305084228516
99,2022,2022-05-14,1550,6,-117.1137237548828,32.78022003173828
100,2022,2022-06-19,1946,7,-117.11196136474608,32.77423095703125
101,2022,2022-07-04,425,1,-117.14857482910156,32.78894805908203
102,2022,2022-05-31,1625,2,-117.10897064208984,32.7560920715332
103,2022,2022-07-11,1600,1,-117.10883331298828,32.71822738647461
104,2022,2022-07-19,2138,2,-117.06077575683594,32.732025146484375
105,2022,2022-08-10,1625,3,-117.19696044921876,32.87165069580078
106,2022,2022-08-07,410,7,-117.09664154052734,32.70737075805664
107,2022,2022-08-08,700,1,-117.24456787109376,32.94977188110352
108,2022,2022-08-25,120,4,-117.1151885986328,32.723731994628906
109,2022,2022-08-31,1120,3,-117.2172622680664,32.84122848510742
110,2022,2022-09-03,815,6,-117.13336181640624,32.77360534667969
111,2022,2022-09-04,1140,7,-117.21547698974608,32.75839614868164
112,2022,2022-09-07,1300,3,-117.0759506225586,32.56419372558594
113,2022,2022-09-09,725,5,-117.09931182861328,32.71022033691406
114,2022,2022-09-11,5,7,-117.14640045166016,32.703960418701165
115,2022,2022-09-07,1425,3,-117.1139907836914,32.68715286254883
116,2022,2022-09-14,630,3,-117.14888763427734,32.720901489257805
117,2022,2022-09-11,140,7,-117.16236114501952,32.76750183105469
118,2022,2022-09-27,245,2,-117.22476196289062,32.90530014038086
119,2022,2022-09-30,1240,5,-117.08373260498048,32.983726501464844
120,2022,2022-10-25,1844,2,-117.12731170654295,32.6944465637207
121,2022,2022-10-27,1100,4,-117.15602111816406,32.7364501953125
122,2022,2022-10-27,1518,4,-117.22821044921876,32.93742752075195
123,2022,2022-11-02,910,3,-117.16210174560548,32.83979034423828
124,2022,2022-11-02,903,3,-117.11637878417967,32.71635818481445
125,2022,2022-01-09,1914,7,-117.1987533569336,32.75287628173828
126,2022,2022-11-07,1826,1,-117.11699676513672,32.77826690673828
127,2022,2022-11-27,1436,7,-117.05975341796876,32.77838134765625
128,2022,2022-12-01,2000,4,-117.0896224975586,32.65470886230469
129,2022,2022-12-03,55,6,-117.10468292236328,32.718772888183594
130,2022,2022-10-03,1531,1,-117.05361938476562,32.77718734741211
131,2022,2022-12-13,745,2,-117.179443359375,32.847652435302734
132,2022,2022-12-24,230,6,-117.09835815429688,32.709190368652344
133,2022,2022-11-11,2500,5,-117.1496124267578,32.95652770996094
134,2022,2022-09-21,1116,3,-117.2067642211914,32.78793716430664
135,2022,2022-01-14,1609,5,-117.2141571044922,32.87260818481445
136,2022,2022-01-16,1905,7,-117.25298309326172,32.85051345825195
137,2022,2022-01-06,2054,4,-117.17046356201172,32.742156982421875
138,2022,2022-01-07,922,5,-117.12779998779295,32.6875
139,2022,2022-01-02,1025,7,-117.0850067138672,32.71500015258789
140,2022,2022-01-21,1007,5,-117.22941589355467,32.7243766784668
141,2022,2022-03-04,1835,5,-117.17839050292967,32.87766647338867
142,2022,2022-01-25,1948,2,-117.24314880371094,32.74991226196289
143,2022,2022-02-03,803,4,-117.16984558105467,32.72514343261719
144,2022,2022-01-25,620,2,-117.13864135742188,32.704444885253906
145,2022,2022-02-06,140,7,-117.15837097167967,32.748382568359375
146,2022,2022-01-26,1107,3,-117.24314880371094,32.74991226196289
147,2022,2022-04-01,1954,5,-117.0923080444336,32.58374786376953
148,2022,2022-03-22,1537,2,-116.93427276611328,32.55287551879883
149,2022,2022-04-10,2358,7,-117.15741729736328,32.748390197753906
150,2022,2022-03-19,2143,6,-117.14629364013672,32.746437072753906
151,2022,2022-03-26,1823,6,-117.15204620361328,32.714698791503906
152,2022,2022-08-09,1350,2,-117.0797119140625,32.732154846191406
153,2022,2022-04-30,118,6,-117.15098571777344,32.75136184692383
154,2022,2022-04-29,1759,5,-117.19795989990234,32.75751495361328
155,2022,2022-04-11,1530,1,-117.2048110961914,32.75529479980469
156,2022,2022-04-12,1230,2,-117.04721832275392,32.773677825927734
157,2022,2022-03-31,1200,4,-117.24488067626952,32.7509651184082
