id,neighbourhood,latitude,longitude,room_type,price
6,North Hills,32.75522,-117.12873,Entire home/apt,349
29967,Pacific Beach,32.80751,-117.2576,Entire home/apt,286
54001,La Jolla,32.81301,-117.26856,Entire home/apt,196
62274,Pacific Beach,32.80583,-117.24244,Entire home/apt,99
62949,Pacific Beach,32.80621,-117.23372,Entire home/apt,114
103720,Midtown,32.74779,-117.1648,Entire home/apt,203
108349,Pacific Beach,32.79783,-117.25416,Entire home/apt,526
126344,Pacific Beach,32.80751,-117.25728,Entire home/apt,673
132966,La Jolla,32.80934,-117.25913,Entire home/apt,95
165967,West University Heights,32.75314,-117.15142,Entire home/apt,141
171212,Carmel Valley,32.94568,-117.23229,Entire home/apt,169
174041,Mira Mesa,32.91086,-117.13066,Entire home/apt,132
176588,Moreno Mission,32.77361,-117.2004,Entire home/apt,115
182428,Mission Bay,32.76411,-117.25139,Entire home/apt,200
184238,Loma Portal,32.74109,-117.24503,Entire home/apt,213
190225,La Jolla,32.84006,-117.26922,Entire home/apt,789
211583,Mission Bay,32.76757,-117.25103,Entire home/apt,290
246264,Linda Vista,32.79579,-117.17383,Entire home/apt,102
252289,Old Town,32.75259,-117.17599,Entire home/apt,179
292285,Loma Portal,32.75031,-117.23056,Entire home/apt,105
293133,North Hills,32.74925,-117.13299,Entire home/apt,97
293609,West University Heights,32.75906,-117.14445,Entire home/apt,259
299720,Midtown,32.73464,-117.16452,Entire home/apt,121
323773,Cortez Hill,32.72237,-117.1652,Entire home/apt,200
343495,Ocean Beach,32.75152,-117.24682,Entire home/apt,199
359971,West University Heights,32.75568,-117.14679,Entire home/apt,115
366811,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,139
373322,Mission Bay,32.7924,-117.23138,Entire home/apt,343
394524,Pacific Beach,32.802494,-117.25676,Entire home/apt,176
396390,Midtown,32.74359,-117.17584,Entire home/apt,89
401431,Ocean Beach,32.75103,-117.24745,Entire home/apt,149
426121,Midtown,32.74271,-117.1773,Entire home/apt,115
438786,North Hills,32.74966,-117.14462,Entire home/apt,107
443994,Clairemont Mesa,32.80279,-117.18976,Entire home/apt,126
472433,La Jolla,32.82787,-117.27975,Entire home/apt,1300
473679,Balboa Park,32.72065,-117.13006,Entire home/apt,82
483688,Moreno Mission,32.766686193501634,-117.18966015101624,Entire home/apt,206
500915,South Park,32.7264,-117.12624,Entire home/apt,308
506774,Balboa Park,32.71941,-117.129,Entire home/apt,111
519849,Mission Bay,32.78917,-117.23352,Entire home/apt,218
528113,Midtown,32.73608,-117.16177,Entire home/apt,119
560227,Mission Bay,32.7873,-117.25408,Entire home/apt,200
561997,Bay Park,32.80576,-117.1955,Entire home/apt,249
571822,La Jolla,32.81561,-117.26318,Entire home/apt,500
576112,Pacific Beach,32.80451,-117.25308,Entire home/apt,202
585426,Normal Heights,32.76731,-117.125,Entire home/apt,272
585469,South Park,32.72963,-117.12269,Entire home/apt,130
587471,Ocean Beach,32.73408,-117.25157,Entire home/apt,700
591575,La Jolla,32.82898,-117.27846,Entire home/apt,469
597609,La Jolla,32.82901,-117.27849,Entire home/apt,424
599607,Midtown,32.74259,-117.17566,Entire home/apt,132
602985,Ocean Beach,32.74566,-117.24986,Entire home/apt,197
610920,La Jolla,32.81244,-117.26835,Entire home/apt,918
631271,East Village,32.71553,-117.15377,Entire home/apt,101
637308,La Jolla,32.83984,-117.26885,Entire home/apt,1352
651542,Midtown,32.74323,-117.17623,Entire home/apt,179
655822,Rancho Penasquitos,32.9524,-117.11426,Entire home/apt,300
657051,South Park,32.72266,-117.12402,Entire home/apt,180
691132,Pacific Beach,32.80756,-117.25728,Entire home/apt,516
693579,Balboa Park,32.7159,-117.14481,Entire home/apt,99
707175,Marina,32.70958,-117.16148,Entire home/apt,191
723387,Pacific Beach,32.79429,-117.24269,Entire home/apt,149
741131,Linda Vista,32.79647,-117.17435,Entire home/apt,110
